Year,County,Days Monitored,#  Days Standard Not Met,% Days Standard Not Met,Affected person days  (x1000)
2018,Spokane,365,49,13.4,24890
2018,Stevens,365,47,12.9,2116
2018,Thurston,340,25,7.4,7560
2018,Wahkiakum,--,--,--,--
2018,Walla Walla,365,20,5.5,1236
2018,Whatcom,359,14,3.9,3136
2018,Whitman,365,15,4.1,738
2018,Yakima,365,55,15.1,13998
2019,State Total,--,--,--,--
2019,Adams,360,7,1.9,143
2019,Asotin,358,22,6.2,505
2019,Benton,364,1,0.3,202
2019,Chelan,365,12,3.3,941
2019,Clallam,365,21,5.8,1596
2019,Clark,364,35,9.6,17144
2019,Columbia,365,1,0.3,4
2019,Cowlitz,360,9,2.5,994
2019,Douglas,--,--,--,--
2019,Ferry,--,--,--,--
2019,Franklin,--,--,--,--
2019,Garfield,358,2,0.6,5
2019,Grant,365,3,0.8,296
2019,Grays Harbor,352,3,0.8,231
2019,Island,--,--,--,--
2019,Jefferson,--,--,--,--
2019,King,365,29,8,64563
2019,Kitsap,340,2,0.6,580
2019,Kittitas,365,9,2.5,419
2019,Klickitat,365,12,3.3,269
2019,Lewis,--,--,--,--
2019,Lincoln,--,--,--,--
2019,Mason,361,4,1.1,263
2019,Okanogan,365,61,16.7,2607
2019,Pacific,--,--,--,--
2019,Pend Oreille,--,--,--,--
2019,Pierce,365,54,14.8,47968
2019,San Juan,0,--,--,--
2019,Skagit,350,2,0.6,269
2019,Skamania,--,--,--,--
2019,Snohomish,364,85,23.4,69781
2019,Spokane,365,25,6.8,12881
2019,Stevens,365,32,8.8,1458
2019,Thurston,329,19,5.8,6024
2019,Wahkiakum,--,--,--,--
2019,Walla Walla,318,6,1.9,428
2019,Whatcom,363,1,0.3,227
2019,Whitman,365,2,0.6,100
2019,Yakima,365,53,14.5,13565
